,original_id,sequence_length
d3be1a657b7fdb5ab4c03e12d4452164,protein_218,2549
9881e7f1fbeb971605a72097fd1e8f74,protein_173,2527
69f18bd2bccdc73111154f2d23b9e30a,protein_311,2347
0f94f5b37caa54434e48234364eaebc8,protein_63,2027
5c9f2e954c582525203fac666a8f1ee6,protein_358,2022
66131fda098c42a876c1a261fdab289c,protein_220,1914
5a53c289baff7c034c2a393fab940ce2,protein_211,1732
106f30384a8d2a22ca841d7e8111b446,protein_212,1711
9f6ae88d2fb149ddbc8df249385c2cd2,protein_135,1649
a5659d42be2825621ce7efe1b3e906bc,protein_261,1634
638c4a64d52d6951aeba1a615d93068f,protein_13,1620
d75fafa6d628fddd44e3697dc5d47926,protein_223,1616
b6a712661bf0e544de78a892500824a7,protein_182,1608
232807c43dc580dd765cb1f1183ec9b7,protein_193,1570
63a0d68b945f4cf5844c2c7efa43b058,protein_90,1551
9a58596b282353f4ec6627519574a871,protein_178,1512
45e842000c350ae09c6081eade5c781f,protein_262,1445
463ef701deab9e03c247d4a82b274659,protein_80,1430
fc6a0ba2b38224e46ec7c739be097fd7,protein_214,1400
ee0753c4f68e188bddb0c66890beee23,protein_202,1390
8eb04104be33f0a0cb376ed145e684ff,protein_153,1382
49017c1dc95d13d5dd4af20ad30b764b,protein_18,1374
7319b21e0d5b3e8342fa71c29192f156,protein_149,1367
79f2c0e04d10d98c088cc5b5d495043c,protein_131,1363
52a29988773d26caa526f2e7fa6dd61e,protein_351,1360
3b93a11bc1683dc849a09618fb5af54b,protein_367,1356
092461d2e13ad54ee72be3459cc73d02,protein_309,1354
4a991f48f32cfa86f990aab1b861bed4,protein_112,1342
d8dedeee4a4e4f1fbac44e31240d6e3a,protein_224,1341
899418d99797aa41d4bc8cc50361b11e,protein_129,1338
3f4809bd211de7e653155ffd55e867f6,protein_203,1332
86464d54b50d43be958afad8d349c3ea,protein_376,1328
8004d7eb798ffefaed9b14e2f6f675d7,protein_335,1315
f183670f5817ceb296bcc3417d468b64,protein_179,1313
aeb97d0ff61f621d2c32aac788e6f779,protein_134,1311
427b0012f5464bdd5b2c4f015a5cb648,protein_113,1308
87553ad0c49853d39756807180b1b257,protein_154,1297
d634034626aa2dab0ad84d3986d74444,protein_19,1288
2af1ef6a9ee25274037975b1bb5f262b,protein_185,1273
6574ba1e70c583c832d735e0e65e280d,protein_299,1263
07bc4395a7bacf678287cffc95377d6b,protein_227,1258
d89a90920775435179a0d5281a800f78,protein_111,1255
6fdcf11fcf8d897c520438f44f03a3bb,protein_324,1235
b9dd5d352c78e0fd2e83e2a6847f05c3,protein_340,1235
3e6cff96e130915b466d864c4e1daf6c,protein_144,1215
99d03b567dbcdd7fb0dd21fb40d5d283,protein_96,1210
378e539100996a97b13c23b7b49ad350,protein_142,1210
ea23e433f5a0c6913d2c37946d4fbbd0,protein_143,1198
281176f6331d962dc37690a120e0acd1,protein_362,1187
bb0857ef9950cd14b3bcf702ab2caf86,protein_1,1167
1fa223fdd790328d7ea8d02379764b80,protein_2,1167
be9f30b4429aa11c191c6f5375ac4670,protein_24,1161
8e53f59e52ec351e230f1133a1713d06,protein_348,1157
933420e3eac5be8b1760cde731133e4a,protein_159,1154
30eefe775079ad4e5fcc4ddbbeee5aa7,protein_347,1138
06a47ffcc300b3340ae364cbdaf040be,protein_160,1132
44d9556e88310965195c5ca33127ee52,protein_166,1130
298eb2b0a64ce9a00143db9fa208db71,protein_161,1124
a09c33bf46654db6fad51846f9219e6c,protein_266,1102
312ca57791f95f6dc515db8edb69595a,protein_252,1089
ea9b80ac17130f0ebc1681a55d9cf179,protein_167,1088
d8b382042fe9e7f89caecc6650d69efe,protein_121,1074
c537c319ba44771c70857064839b3689,protein_264,1070
a095115a650c3290fbb1884795763287,protein_263,1069
eaf7bf4ae65244dfebe5fd03f1e42a58,protein_364,1050
69f91a46a5356658458e344ea4a78bca,protein_265,1044
d25d18a139bb22d3f55d7753ff980cad,protein_28,1038
1e6544f1539195eeda77573e594ae6bf,protein_353,1038
11c19b1c244e80a4edb2b19da9145a81,protein_365,1036
1a213bd272d6c250d234b11511157626,protein_60,1030
1afe3d29f85272281507e040960704df,protein_110,1021
67eafa5307f0359e9a7135718ff4b664,protein_102,1017
eff74a513866fff089a223c2f581c47b,protein_298,1009
cc92bcd03971f1bbcb8a674eb1c03830,protein_297,1007
fa6952670d41351705747f0b091d37ae,protein_105,1005
abeeffb4813a878cbfd9a08ddd6a7c16,protein_339,1001
ecf54d89a60264a682a4dfc85a7ade07,protein_201,999
b9c08d241f65a89983f158b1d1f55773,protein_104,998
409ac9e5d5311eede6882d3667ab8fc5,protein_108,998
5d3aedc2cdcf7b145380ccd8e677b1fa,protein_130,993
14942b3a0d7c80df112f0a18cca04f47,protein_101,986
1a8896170fbf6efcc913d02d247690c3,protein_106,984
8014f731ebb9cd8202f732ab6628d989,protein_279,984
e4ad0bf258e23778e3a4bdc673c5d82a,protein_100,983
3cb6b6b668ed5f7a90159f9d1dcb0ec2,protein_235,979
0efc251039fdec3701d49161200b4f51,protein_120,977
3db2c3fc46849dd4f64bec865c929961,protein_98,976
751c83ccaa7e8981affa3780720de9ec,protein_99,976
f753f2b2d9752a30646c83e8630d1df8,protein_165,976
8d988d2500c4f5a5b5e4062cdc2e0551,protein_68,972
2b7018a774a883c2c7404de9d40e9a42,protein_284,970
d86d95c0324f1fdb3e1fd11a9b7ef0d5,protein_172,968
6067ec91d17b40c80ee27fab40d80eb0,protein_176,966
6e5509ded394c629acb1714a5c491f9c,protein_0,961
68890ebfbaef7a43297d6a7c4324f0fb,protein_209,954
3493f966633c0810d7651f97b71543bf,protein_278,942
94f65206094f6f174279ed73c53d749a,protein_109,935
54d9871a73fe6ccceb540add353ee758,protein_308,929
1ddfa8dc48dc78391c08cee6fa77bfb9,protein_45,926
3c7cd7c9bc03665bd79e1c91b2e3349f,protein_323,926
9264bdf2992309a1eb17cacba71846a9,protein_86,913
59b5717aef295bfdaba454042788fe8c,protein_290,912
7c1799511d958ca6462d45549ac92b5d,protein_341,898
362e54774b909b6b783ca54be8166e47,protein_23,894
350d1687ede89fa32181473348763493,protein_184,894
d0899c0e8db8e72a19abd172f5ad7f45,protein_292,890
0e089d854429c19cf72237b0adf75fe5,protein_363,890
84bb8714a4ef48c051962bddca849932,protein_291,878
82d558b6b30ed4e47dfe1e69afe04bc8,protein_219,869
f3a0bdc4353e4ea4a196667871ac3d6d,protein_174,864
79f0254280dc2125d346cda79cd68870,protein_88,859
37651753ac367085eee54832cb277f81,protein_360,857
ea72b9cc246e4c0f46055e8fb71cd1b6,protein_87,855
70ae0f4d12c76a65b6e0e49cee557282,protein_210,847
99a4b6e0cdd1cea7849a6e4b244c8d30,protein_186,846
c1e8589e21da02f05e1a688a075debff,protein_357,839
041c0dff2609f422b3dacd5ae146dc94,protein_354,835
b4c3b6180393cd6dcfc1f6de00e93952,protein_146,833
7f92278498a105fffa782a04873e8dd9,protein_122,822
d7b557e3c789e6436b0e0c7ca23ef7e0,protein_123,822
79e75a9c5077e2c19f2faee1bf7e88fb,protein_124,822
8278583234a3eda2a192d8bb50e1fab8,protein_125,821
9ece8f2e893fcfdd0f35522f09dbaf3d,protein_183,820
c0ce139ab765292d03ff3ea17fb92438,protein_207,819
f63ddc4afdeeef5cda779b688fd8492c,protein_118,816
5468b76ef67ee32a99c84edd63e82b88,protein_267,816
0c799cd8eb4a963b013291894bf69e69,protein_127,802
ef4bde4c2bdf1b63842a0c77e84fc437,protein_313,802
5513e71898116cb80bd20c78c2d37f1a,protein_377,800
88ac65432712894ab95df2a8f398011a,protein_189,795
d7850bb1808aa7f3a2aabff57fe2b949,protein_355,790
623517a1f4c11124fed81195b66db89e,protein_190,788
33e15bc8613804a0c2bc26b23864e60d,protein_307,784
6520d2a857c8369cb720178ccb9ba9ac,protein_322,783
a344473aeb2d246c0679969778ba5145,protein_32,778
eb095781b16f22aad2fd44d91b8bf4da,protein_253,777
e855d2b1a5703611f79ea65ce6f048da,protein_312,772
f2585a2c0b6996fe51629fd1f2c903e1,protein_350,772
74c9b69323bd112084c1b5b385e7e6c5,protein_30,766
850e4b328d778fa0693b3ea54afd5bf8,protein_84,766
88363785642041b694cbccbc8b9657aa,protein_349,766
0e2177d0ec35139563c13faca02901f5,protein_16,765
f30c5da7d0357e12075b4495b2eefd86,protein_326,765
a6d5668e6f8a2e8004fd184d3d35af31,protein_93,763
9d86072d7de176f6bd300aeb3f1a84a9,protein_294,762
8b8f623e72b89495992f31c451969829,protein_151,756
9559d4e8c7e80364001b76384c4ca702,protein_191,753
8cfa04da6ce00d2a070a4ba9e758c1a3,protein_192,752
446ab468a56cbcddbfa576a3fe4f3a6a,protein_150,745
7f3da8eb583f47952286dec1d00988b1,protein_317,745
21fdbad11ae64c4589b0b46f797f4a35,protein_83,740
805bae60f57cdd008ca3aa26c44edba9,protein_315,740
d7ee634af51ee43a99fa384563ca54f2,protein_286,737
cc0d6ac5272939256d1ee551e9cbe403,protein_33,736
b042873d6b5cb29dcaf26721af6c5995,protein_314,735
b2898aa8c8a6789e7b4d1df7c54e8a85,protein_316,733
ea019cf79d039a451dece6c8a25e0050,protein_342,729
8cbc37ff4423a48219f1f50e08f68475,protein_116,721
1d06a3ddce3a4ca00df65110aa4ea447,protein_248,719
d7cb57dfd70769758593c4ff8882c5dd,protein_152,716
2b9757183ebaaa447f6f0d3fef589f21,protein_147,714
7c465f9a42dc946204c257c884beda6a,protein_155,712
a18600725417b9d75740650d1e056c8d,protein_232,708
bffe28f8aa424873f7864a842f842f72,protein_289,706
96c4f59c21ded7e5c1011b6e42db6b31,protein_310,703
b2471c8c7f9c8ab2f5e7ed244f46f6be,protein_330,688
4c7ce0120dfad6c1beb343b57d7ce9c5,protein_282,685
5ebf32ad0fac45c779a41a908f76a94b,protein_287,683
7b2b0c50bf2c12be32fb45209f67d255,protein_247,681
c30946c08ab398346fe2e6bd336ca8f4,protein_285,676
9c91e351def88da35f1a3e60c94dfb6b,protein_29,675
e13d4905ae105519cb314d29bda73ee9,protein_293,671
259f91067e4215f9dc29a11d6cad461f,protein_305,671
577215e2e723c7a88690b08fcd9c74a2,protein_272,668
14af4e847b53f1b22ddeeb4d1ea574ed,protein_39,666
7473cf69a8f15804b1969ea1db333004,protein_352,666
572e4a542b2a0965f318925d94d9bd0d,protein_17,661
05bd88ca5f9f9aee47d59eea7c9b344c,protein_329,655
6b8130cbabd4a6cf226098056d1e81c3,protein_200,651
35ea5d3eb8e6033a985d9ab60b5f3b5e,protein_85,648
d231d020cb5d921e3a7c5bbe10089245,protein_300,648
040929a2c7cd26691c84820dc4ba1aaf,protein_8,647
34b17396116c8742909b0facca8bd675,protein_169,647
f4d8af21819414fddabe0b9f660a4c04,protein_283,646
1dccbd79f3e7fbc3575ce11444b152f8,protein_369,646
904c208d5b7f91e24c6f131fccf60073,protein_228,645
09f453c1d3cb772c44c5334072c276e5,protein_66,638
1aef751c8e841a4cdc44d2669c45418b,protein_170,638
17dbd30c3a3ccb7420537914a95d3f54,protein_337,635
cee004ae0e88e31b2081890da1a07e59,protein_148,632
ca634f32a8d0fe2439b576206ef6d50c,protein_343,631
546a04bed9fe8b8813fd3526806b3708,protein_97,630
7992d3f13204316fb12f9620793f7961,protein_89,629
8be8a7f8e1c9ca3efbd704414e0c0723,protein_94,629
6c2d2f4426b898eb5aea5626e7175348,protein_325,628
8444e8f764c5995948dcd432a4560d64,protein_181,626
234d021001b8b0cf9fcbf16338163317,protein_280,626
05a0fa43d2081656e825c0f4f91d079c,protein_177,623
bc739105238eb6e59a00ef883d06430b,protein_158,620
8764f6a5f8c2def1a89a456cdb5ed1b2,protein_180,619
e3b2d80f9b7f4b32b0d58fa7a52e2d11,protein_378,619
59ea148c699183003a9d8d3640b25a20,protein_145,616
069ca90c66a511a434906509b6b1c7fc,protein_338,606
64384450345881b482b0cb08336f85ee,protein_281,603
1837c1cd2fcc4cdca9350d2a19b5b1db,protein_95,601
00718825aef7214920cf726a2ce6e7d6,protein_25,599
e871a8fb2f7d058bf253f8da4ae11dda,protein_156,596
8d4c7216ece41bfb701355146ed4f9c4,protein_221,596
955a0b1f912681537125328f43c515c6,protein_288,596
678eaa66d457ed5c74e667880d10eab6,protein_59,592
22b838d24d13b1a0768a8c4750a19051,protein_246,591
23f08ee4173e567e6519e62e221a89a5,protein_44,588
4052e4eb097cb7cc7e3f2c98f707a618,protein_117,587
7030e87f5f6cce280cf75fee909145b0,protein_175,582
95b0e4752620561e87cdd738298d457c,protein_137,578
047cc4511c5431f13dacb3aa77cb555c,protein_302,568
9020f30e22debf8c24762eecb8577da9,protein_331,567
5f3c51957684d959aef27fe1997c2728,protein_346,567
6991d31d5dd38564988f1ed895622a16,protein_370,567
d0e3e3930a82f1094a16b8beeef6be54,protein_136,563
2649c5bf571237ec98d7917e160a2140,protein_271,562
676dc3992822c9654f4f67c3eea7f843,protein_14,559
3773b36eb9e8df4e378b85b2b7ea48bb,protein_245,559
d963c8f9d6e36940b564cbd1087ef21a,protein_41,558
2aeabf3a06284a441e14dd03449bb30b,protein_254,556
80ce9e67bd51e4c231f65f5ecad44bff,protein_138,553
d2338540fce8e2755f238b1d5066a1a4,protein_15,552
01b1e20fa3f8b5c5dcf6905976627bb9,protein_303,552
556c8910728e80204c4d5810f42cdfa3,protein_103,547
3e8d19052b87de5bfc4954b226c2ff8f,protein_243,545
54e39ac752f1533b6fde2a72715d5d74,protein_336,545
ef2e5a7613a699e7e634540816477ccb,protein_9,544
572900d08288730a7a26fd2890027fb7,protein_119,544
d4bfe45a8f3d01cbf5eac244d893ba1a,protein_62,543
cfa5e46a13b97a4e61374b1180cfc383,protein_374,543
43a6f16359244be76787bfd502af8233,protein_46,542
9fab357664bcb6aaf6d68320f38ad955,protein_306,540
a4554222869c00fd751dc364e23f6a4d,protein_133,537
b34856872be278010271203e00bee542,protein_327,536
2ba7da319f1fe10bab89f2a89c0ad159,protein_334,534
2384b8303cf754fa1b560afd8a02eeb3,protein_26,532
408c333701ec7e889d495aeb32d7ae10,protein_128,529
cf3cb484bd512a68f0d48eb1cc28c895,protein_237,527
61404b3505964d63151cea66c13373c8,protein_238,527
83c9b5b6d53ee7620f6693c533ab8428,protein_361,527
c699ae0a92fc5cd855420130fb067bab,protein_141,526
7c70ba1d36e2a071b194f662aeb256d0,protein_318,525
8df8e84eba129585f62ad70d760b1689,protein_244,524
cd9f151f8e30e534d4064f4d850ebfcb,protein_255,524
ec9c15ee7e279b4f6887a9b95c12338b,protein_250,523
a3194ee57a6c080d2b8abc416d90f76e,protein_304,519
6a65231319515480ab3643977a8a47cd,protein_333,514
5ce711f3e4272b427621d6a1b96259c8,protein_5,513
27493a72f646f480a9a0c925dac07f90,protein_295,513
8906a15d3b30acc3f8af92da4fed9770,protein_6,512
a96cc1fde4a63ebc48b949b16e580fc2,protein_3,509
4da4a28a5ddea0c62c113e19a4a784f7,protein_168,509
e53ad859e866ab459a5d5251888b4b40,protein_368,508
997284a844c2ac28a5afc67b8226f17b,protein_79,507
7788769b15e452b03ec905d21c76bea3,protein_230,506
067c96504c9d928ed2f9f0c859f4a95f,protein_4,505
